Project Number,Acronym,Researcher(s),Ateneo,Numero di organizzazioni,Grant Type,year,EU contribution
101167101,REM@KE,"Andrea Schiavio, Joel Speerstra, Massimiliano Guido",PAVIA,3,Synergy Grants,2024,8031361.0
101167218,SKIN2DTRONICS,"Andras Kis, Andres Castellanos-Gomez, Gianluca Fiori, Kostas Kostarelos",PISA,4,Synergy Grants,2024,9896897.0
101118626,EndoTheranostics,"Alberto Arezzo, Bruno Siciliano, Kaspar Althoefer",TORINO,3,Synergy Grants,2023,7616426.25
101118565,LAST NEANDERTHALS,"Francesco Berna, Omry Barzilai, Stefano Benazzi","BOLOGNA,SIENA",3,Synergy Grants,2023,12920328.0
101071533,CASTLE,"Michael R. Wasielewski, Robert Bittl, Roberta Sessoli, Stefano Carretta","FIRENZE,PARMA",4,Synergy Grants,2022,8976957.0
101071900,NEMESIS,"Gustavo Deco, Marcello Massimini, Maria Victoria Sanchez-Vives, Maurizio Corbetta","MILANO,PADOVA",4,Synergy Grants,2022,9927253.75
855923,ASTRA,"Giancarlo Ruocco, Giangaetano Tartaglia, Irene Bozzoni","ROMA ""La Sapienza""",3,Synergy Grants,2019,7741799.0
810182,SCOPE,"Annemie Bogaerts, Evgeny Rebrov, Gabriele Centi",MESSINA,3,Synergy Grants,2018,9979269.38
810356,SOLID,"Hanspeter Kriesi, Maurizio Ferrera, Waltraud Schelkle",MILANO,3,Synergy Grants,2018,9604137.75
101189458,PREDICT,Chiara Ambrogio,TORINO,1,Proof of Concept,2024,150000.0
101117436,KAPTION,Irene Gallina,PADOVA,1,Starting Grants,2023,1494774.0
101078838,CentroFun,Simona Giunta,"ROMA ""La Sapienza""",1,Starting Grants,2022,1500000.0
101076026,TRANS-3,Alessandro Bertero,TORINO,1,Starting Grants,2022,1769998.0
101094471,MetaQ,Andrea Mattevi,PAVIA,1,Advanced Grants,2022,2107750.0
101001288,KARMA,Chiara Ambrogio,TORINO,1,Consolidator Grants,2020,1996853.0
614541,DNAMEREP,Vincenzo Costanzo,MILANO,1,Consolidator Grants,2013,1999800.0
340172,MUNCODD,Irene Bozzoni,"ROMA ""La Sapienza""",1,Advanced Grants,2013,2000000.0
294777,mitoCalcium,Rosario Rizzuto,PADOVA,1,Advanced Grants,2011,2432400.0
101171662,SPECOLA,Davide Risso,PADOVA,1,Consolidator Grants,2024,1979375.0
648670,SPICE,Francesca Demichelis,TRENTO,1,Consolidator Grants,2014,1996428.0
322749,DEPTH,Giovanni Cesareni,"ROMA ""Tor Vergata""",1,Advanced Grants,2012,2639804.0
260897,AnoRep,Flaminia Catteruccia,PERUGIA,1,Starting Grants,2010,1500000.0
101142557,INTEGRATE,Luca Scorrano,PADOVA,1,Advanced Grants,2023,2499935.0
101002280,EGFRtoMITO,Sara Sigismund,MILANO,1,Consolidator Grants,2020,1840125.0
716910,MetEpiStem,Graziano Martello,PADOVA,1,Starting Grants,2016,1498232.0
725268,DissectPcG,Diego Pasini,MILANO,1,Consolidator Grants,2016,2000000.0
282280,ERMITO,Luca Scorrano,PADOVA,1,Starting Grants,2011,1499995.2
260368,ROMA,Sabrina Sabatini,"ROMA ""La Sapienza""",1,Starting Grants,2010,1475999.2
101163480,CODE-HEART,Carolina Greco,HUMANITAS University,1,Starting Grants,2024,1721063.0
101164006,GLP1RES,Elisa Araldi,PARMA,1,Starting Grants,2024,1500000.0
101163219,IDENTIKIT,Irene Franco,S. Raffaele MILANO,1,Starting Grants,2024,1500000.0
101115959,Novel.CaRe,Paola Cattaneo,MILANO,1,Starting Grants,2023,1592281.0
101126135,CONNASHION,Donato Inverso,S. Raffaele MILANO,1,Consolidator Grants,2023,1741250.0
101098074,CHARTAGING,Stefano Piccolo,PADOVA,1,Advanced Grants,2022,2811871.0
101045285,AUTO-SELECT,Carmine Settembre,Napoli Federico II,1,Consolidator Grants,2021,1993750.0
963865,MELASTOP,Massimo Santoro,PADOVA,1,Proof of Concept,2020,150000.0
101001746,Mini-HEART,Milena Bellin,PADOVA,1,Consolidator Grants,2020,2000000.0
101019891,SIMPOSION,Paola Romagnani,FIRENZE,1,Advanced Grants,2020,2296900.0
853057,InflaPML,Carlotta Giorgi,FERRARA,1,Starting Grants,2019,1462500.0
759921,SymPAtHY,Daniela Carnevale,"ROMA ""La Sapienza""",1,Starting Grants,2017,1497831.0
647057,rEnDOx,Massimo Santoro,PADOVA,1,Consolidator Grants,2014,1999827.0
648274,RENOIR,Paola Romagnani,FIRENZE,1,Consolidator Grants,2014,1772718.75
670126,DENOVOSTEM,Stefano Piccolo,PADOVA,1,Advanced Grants,2014,2498934.0
324621,ALKVAX, ,TORINO,1,Proof of Concept,2012,149938.96
322977,WAYS,Adriana Caterina Elvira Maggi,MILANO,1,Advanced Grants,2012,1445381.0
242965,LUNELY,Roberto Chiarle,TORINO,1,Starting Grants,2009,1010000.0
101075848,FLEXIN,Katja Reinhard,SISSA - TRIESTE,1,Starting Grants,2022,1544651.0
101088207,REDIRECT,Miriam Melis,CAGLIARI,1,Consolidator Grants,2022,1999138.0
101043003,IMPACT,Simona Lodato,HUMANITAS University,1,Starting Grants,2021,1490000.0
957538,FUTURE-NHP,Luca Bonini,PARMA,1,Proof of Concept,2020,150000.0
101002704,EMACTIVE,Luca Bonini,PARMA,1,Consolidator Grants,2020,1999231.0
875031,SMARTLABCAM,Davide Zoccolan,SISSA - TRIESTE,1,Proof of Concept,2019,150000.0
737609,NEUROMICRONICA,Mathew Ernest Diamond,SISSA - TRIESTE,1,Proof of Concept,2016,150000.0
742436,HD-DittoGraph,Elena Cattaneo,MILANO,1,Advanced Grants,2016,2040943.0
678307,WIRELESS,Luca Bonini,PARMA,1,Starting Grants,2015,1499338.0
648734,HUMO,Aldo Genovesio,"ROMA ""La Sapienza""",1,Consolidator Grants,2014,1028750.0
616803,LEARN2SEE,Davide Franco Zoccolan,SISSA - TRIESTE,1,Consolidator Grants,2013,2000000.0
281072,RSSCEMSR,Benedetto Sacchetti,TORINO,1,Starting Grants,2011,1116000.0
294498,CONCEPT,Mathew Diamond,SISSA - TRIESTE,1,Advanced Grants,2011,2500000.0
250013,Cogsystems,Giacomo Rizzolatti,PARMA,1,Advanced Grants,2009,1992000.0
101170262,AUTO-T-NERVES,Daniela Latorre,S. Raffaele MILANO,1,Consolidator Grants,2024,2000000.0
101116224,GREMLIN,Marco De Giovanni,S. Raffaele MILANO,1,Starting Grants,2023,1500000.0
101141363,EUCLIDEAN,Matteo Iannacone,S. Raffaele MILANO,1,Advanced Grants,2023,2500000.0
101069397,NeutrAD,Gabriela Constantin,VERONA,1,Proof of Concept,2022,150000.0
853179,SYNVIVO,Giulia Pasqual,PADOVA,1,Starting Grants,2019,1500000.0
899770,MOBILISE,Antonella Viola,PADOVA,1,Proof of Concept,2019,150000.0
693606,IMPEDE,Gabriela Constantin,VERONA,1,Proof of Concept,2015,150000.0
