Project Number,Acronym,Researcher(s),Ateneo,Grant Type,year,EU contribution
101166930,RECAP,"Benedetta Ciardi, Kirsten Kraiberg Knudsen, Laura Pentericci, Valentina D'Odorico","Chalmers University of Technology [999980373,SE], Max Planck Society [999990267,DE], National Institute for Astrophysics - Italy [999868920,IT], National Institute for Astrophysics - Italy [999868920,IT]",Synergy Grants,2024,9765000.0
101167101,REM@KE,"Andrea Schiavio, Joel Speerstra, Massimiliano Guido","University of Gothenburg [999981925,SE], University of Pavia [999893752,IT], University of York [999978336,UK]",Synergy Grants,2024,8031361.0
101167218,SKIN2DTRONICS,"Andras Kis, Andres Castellanos-Gomez, Gianluca Fiori, Kostas Kostarelos","Catalan Institute of Nanoscience and Nanotechnology (ICN2) [999606923,ES], Spanish National Research Council (CSIC) [999991722,ES], Swiss Federal Institute of Technology Lausanne (EPFL) [999973971,CH], University of Pisa [999862712,IT]",Synergy Grants,2024,9896897.0
101212751,VSoft Pro,Antonio Bicchi,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2024,150000.0
101118626,EndoTheranostics,"Alberto Arezzo, Bruno Siciliano, Kaspar Althoefer","Consortium for Energy Research and Technological Applications of Electromagnetism (C.R.E.A.T.E.) [954718427,IT], University of London - Queen Mary College [999847677,UK], University of Turin [999861936,IT]",Synergy Grants,2023,7616426.25
101118565,LAST NEANDERTHALS,"Francesco Berna, Omry Barzilai, Stefano Benazzi","University of Bologna [999993953,IT], University of Haifa [999897826,IL], University of Siena [999898020,IT]",Synergy Grants,2023,12920328.0
101071533,CASTLE,"Michael R. Wasielewski, Robert Bittl, Roberta Sessoli, Stefano Carretta","Free University of Berlin [999994826,DE], Northwestern University [999627778,US], University of Florence [999895789,IT], University of Parma [999846028,IT]",Synergy Grants,2022,8976957.0
101071900,NEMESIS,"Gustavo Deco, Marcello Massimini, Maria Victoria Sanchez-Vives, Maurizio Corbetta","Clinic Foundation for Biomedical Research - August Pi i Sunyer Biomedical Research Institute (FCRB-IDIBAPS) [999477525,ES], Pompeu Fabra University [999867077,ES], University of Milan [999995796,IT], University of Padua [999995602,IT]",Synergy Grants,2022,9927253.75
101069179,WISH,Antonio Bicchi,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2022,150000.0
855923,ASTRA,"Giancarlo Ruocco, Giangaetano Tartaglia, Irene Bozzoni","Italian Institute of Technology [999596447,IT], Italian Institute of Technology [999596447,IT], Sapienza University of Rome [999987745,IT]",Synergy Grants,2019,7741799.0
810182,SCOPE,"Annemie Bogaerts, Evgeny Rebrov, Gabriele Centi","University of Antwerp [999902870,BE], University of Messina [999662601,IT], University of Warwick [999976784,UK]",Synergy Grants,2018,9979269.38
810356,SOLID,"Hanspeter Kriesi, Maurizio Ferrera, Waltraud Schelkle","European University Institute [999902385,IT], European University Institute [999902385,IT], University of Milan [999995796,IT]",Synergy Grants,2018,9604137.75
101189458,PREDICT,Chiara Ambrogio,"University of Turin [999861936,IT]",Proof of Concept,2024,150000.0
101117436,KAPTION,Irene Gallina,"University of Padua [999995602,IT]",Starting Grants,2023,1494774.0
101142614,TOPOMECH,Marco Foiani,"National Research Council (CNR) - Italy [999979500,IT]",Advanced Grants,2023,2493665.0
101078838,CentroFun,Simona Giunta,"Sapienza University of Rome [999987745,IT]",Starting Grants,2022,1500000.0
101076026,TRANS-3,Alessandro Bertero,"University of Turin [999861936,IT]",Starting Grants,2022,1769998.0
101094471,MetaQ,Andrea Mattevi,"University of Pavia [999893752,IT]",Advanced Grants,2022,2107750.0
101041298,THYROMOL,Francesca Coscia,"Human Technopole [895748732,IT]",Starting Grants,2021,1498750.0
101001288,KARMA,Chiara Ambrogio,"University of Turin [999861936,IT]",Consolidator Grants,2020,1996853.0
875139,FIREQUENCHER,Fabrizio D'Adda Di Fagagna,"FIRC - Institute of Molecular Oncology [999534367,IT]",Proof of Concept,2019,150000.0
819826,CiliaTubulinCode,Gaia Pigino,"Human Technopole [895748732,IT]",Consolidator Grants,2018,1986406.0
737561,RNAging,Fabrizio D'Adda Di Fagagna,"FIRC - Institute of Molecular Oncology [999534367,IT]",Proof of Concept,2016,149950.0
682190,REPSUMODDT,Dana Branzei,"FIRC - Institute of Molecular Oncology [999534367,IT]",Consolidator Grants,2015,1991250.0
664713,DDRNA,Fabrizio D'Adda Di Fagagna,"FIRC - Institute of Molecular Oncology [999534367,IT]",Proof of Concept,2014,149425.0
614541,DNAMEREP,Vincenzo Costanzo,"University of Milan [999995796,IT]",Consolidator Grants,2013,1999800.0
340172,MUNCODD,Irene Bozzoni,"Sapienza University of Rome [999987745,IT]",Advanced Grants,2013,2000000.0
322726,DDRNA,Fabrizio D'Adda Di Fagagna,"FIRC - Institute of Molecular Oncology [999534367,IT]",Advanced Grants,2012,2329200.0
