,Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
0,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ABATANGELO Laura,F,Politecnico di MILANO,,MAT/05,01/A3,MATEMATICA,2023,01 - Scienze matematiche e informatiche
1,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ABATANGELO Nicola,M,BOLOGNA,,MAT/05,01/A3,MATEMATICA,2023,01 - Scienze matematiche e informatiche
2,Ordinario,ABATE Andrea Francesco,M,SALERNO,,INF/01,01/B1,Informatica,2023,01 - Scienze matematiche e informatiche
3,Ordinario,ABATE Marco,M,PISA,,MAT/03,01/A2,MATEMATICA,2023,01 - Scienze matematiche e informatiche
4,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ABBATIELLO Anna,F,"CAMPANIA - ""L. VANVITELLI""",,MAT/07,01/A4,MATEMATICA E FISICA (DMF),2023,01 - Scienze matematiche e informatiche
5,Associato confermato,ABBATTISTA Fabio,M,BARI,,INF/01,01/B1,Informatica,2023,01 - Scienze matematiche e informatiche
6,Associato confermato,ABENDA Simonetta,F,BOLOGNA,,MAT/05,01/A3,Matematica,2023,01 - Scienze matematiche e informatiche
7,Associato,ABREU Marien,F,BASILICATA,,MAT/03,01/A2,"Matematica, Informatica ed Economia",2023,01 - Scienze matematiche e informatiche
8,Associato,ABUNDO Mario Rosolino,M,"ROMA ""Tor Vergata""",,MAT/06,01/A3,Matematica,2023,01 - Scienze matematiche e informatiche
9,Ordinario,ACAMPORA Giovanni,M,Napoli Federico II,,INF/01,01/B1,"Fisica ""Ettore Pancini""",2023,01 - Scienze matematiche e informatiche
10,Associato confermato,ACCIARO Vincenzo,M,CHIETI-PESCARA,,INF/01,01/B1,Economia,2023,01 - Scienze matematiche e informatiche
