,Unnamed: 0,Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
0,0,Associato,ABATANGELO Laura,F,Politecnico di MILANO,,MAT/05,01/A3,Matematica,2024,01 - Scienze matematiche e informatiche
1,1,Associato,ABATANGELO Nicola,M,BOLOGNA,,MAT/05,01/A3,Matematica,2024,01 - Scienze matematiche e informatiche
2,2,Ordinario,ABATE Andrea Francesco,M,SALERNO,,INF/01,01/B1,Informatica,2024,01 - Scienze matematiche e informatiche
3,3,Ordinario,ABATE Marco,M,PISA,,MAT/03,01/A2,MATEMATICA,2024,01 - Scienze matematiche e informatiche
4,4,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ABBATIELLO Anna,F,"CAMPANIA - ""L. VANVITELLI""",,MAT/07,01/A4,MATEMATICA E FISICA (DMF),2024,01 - Scienze matematiche e informatiche
5,5,Associato confermato,ABBATTISTA Fabio,M,BARI,,INF/01,01/B1,Informatica,2024,01 - Scienze matematiche e informatiche
6,6,Associato confermato,ABENDA Simonetta,F,BOLOGNA,,MAT/05,01/A3,Matematica,2024,01 - Scienze matematiche e informatiche
7,7,Associato,ABREU Marien,F,BASILICATA,,MAT/03,01/A2,Scienze di Base e Applicate,2024,01 - Scienze matematiche e informatiche
8,8,Associato,ABUNDO Mario Rosolino,M,"ROMA ""Tor Vergata""",,MAT/06,01/A3,Matematica,2024,01 - Scienze matematiche e informatiche
9,9,Ordinario,ACAMPORA Giovanni,M,Napoli Federico II,,INF/01,01/B1,"Fisica ""Ettore Pancini""",2024,01 - Scienze matematiche e informatiche
10,10,Associato confermato,ACCIARO Vincenzo,M,CHIETI-PESCARA,,INF/01,01/B1,Economia,2024,01 - Scienze matematiche e informatiche
11,11,Associato,ACCIARRI Cristina,F,MODENA e REGGIO EMILIA,,MAT/02,01/A2,"Scienze fisiche, informatiche e matematiche",2024,01 - Scienze matematiche e informatiche
