Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
Associato confermato,ABATANGELO Luca Maria I.,F,BARI,Economia,MAT/02,,STATISTICA,2003,01 - Scienze matematiche e informatiche
Associato confermato,ABATANGELO Vito,M,Politecnico di BARI,Ingegneria,MAT/03,,MATEMATICA,2003,01 - Scienze matematiche e informatiche
Ricercatore,ABATE Andrea Francesco,M,SALERNO,Scienze Matematiche Fisiche e Naturali,INF/01,,STUDI E RICERCHE AZIENDALI/DISTRA,2003,01 - Scienze matematiche e informatiche
Ordinario,ABATE Marco,M,PISA,Scienze Matematiche Fisiche e Naturali,MAT/03,,MATEMATICA,2003,01 - Scienze matematiche e informatiche
Ricercatore,ABBA' Antonella,F,Politecnico di MILANO,"Ingegneria Civile, Ambientale e Territoriale",MAT/07,,MATEMATICA,2003,01 - Scienze matematiche e informatiche
Ordinario,ABBATI MARESCOTTI Pier Paolo,M,BOLOGNA,Ingegneria,MAT/07,,MATEMATICA,2003,01 - Scienze matematiche e informatiche
Ricercatore,ABBATTISTA Fabio,M,BARI,Scienze Matematiche Fisiche e Naturali,INF/01,,INFORMATICA,2003,01 - Scienze matematiche e informatiche
Ordinario,ABBATTISTA Nicola,M,BARI,Scienze Matematiche Fisiche e Naturali,INF/01,,INFORMATICA,2003,01 - Scienze matematiche e informatiche
Associato confermato,ABBENA Elsa,F,TORINO,Scienze Matematiche Fisiche e Naturali,MAT/03,,MATEMATICA,2003,01 - Scienze matematiche e informatiche
Ricercatore,ABBONDANDOLO Alberto,M,Scuola Normale Superiore di PISA,Classe di Scienze Mat. e Nat.,MAT/05,,MATEMATICA,2003,01 - Scienze matematiche e informatiche
Ordinario,ABEASIS Silvana,F,"ROMA ""Tor Vergata""",Scienze Matematiche Fisiche e Naturali,MAT/03,,MATEMATICA,2003,01 - Scienze matematiche e informatiche
Ricercatore,ABENDA Simonetta,F,BOLOGNA,Ingegneria,MAT/05,,MATEMATICA,2003,01 - Scienze matematiche e informatiche
Ricercatore,ABUNDO Mario Rosolino,M,"ROMA ""Tor Vergata""",Scienze Matematiche Fisiche e Naturali,MAT/06,,MATEMATICA,2003,01 - Scienze matematiche e informatiche
Associato confermato,ACANFORA Fausto,M,"CAMPANIA - ""L. VANVITELLI""",Ingegneria,MAT/05,,INGEGNERIA DELL'INFORMAZIONE,2003,01 - Scienze matematiche e informatiche
Associato confermato,ACCASCINA Giuseppe,M,"ROMA ""La Sapienza""",Ingegneria,MAT/03,,SCIENZE DI BASE ED APPLICATE PER L'INGEGNERIA,2003,01 - Scienze matematiche e informatiche
Associato confermato,ACCIARO Vincenzo,M,MOLISE,Scienze Matematiche Fisiche e Naturali,INF/01,,SCIENZE,2003,01 - Scienze matematiche e informatiche
Ordinario,ACERBI Emilio Daniele G.,M,PARMA,Ingegneria,MAT/05,,MATEMATICA,2003,01 - Scienze matematiche e informatiche
Associato confermato,ACHILLES Hans Joachim Rudiger,M,BOLOGNA,Chimica Industriale,MAT/03,,MATEMATICA,2003,01 - Scienze matematiche e informatiche
Associato confermato,ACQUISTAPACE Francesca,F,PISA,Scienze Matematiche Fisiche e Naturali,MAT/03,,MATEMATICA,2003,01 - Scienze matematiche e informatiche
