Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
Ordinario,ABATANGELO Vito,M,Politecnico di BARI,Ingegneria,MAT/03,01/A2,MATEMATICA,2011,01 - Scienze matematiche e informatiche
Associato confermato,ABATE Andrea Francesco,M,SALERNO,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,STUDI E RICERCHE AZIENDALI/DISTRA,2011,01 - Scienze matematiche e informatiche
Ordinario,ABATE Marco,M,PISA,Scienze Matematiche Fisiche e Naturali,MAT/03,01/A2,MATEMATICA,2011,01 - Scienze matematiche e informatiche
Ricercatore,ABBA' Antonella,F,Politecnico di MILANO,Ingegneria Industriale,MAT/07,01/A4,MATEMATICA,2011,01 - Scienze matematiche e informatiche
Associato confermato,ABBATTISTA Fabio,M,BARI,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,INFORMATICA,2011,01 - Scienze matematiche e informatiche
Associato confermato,ABBENA Elsa,F,TORINO,Scienze Matematiche Fisiche e Naturali,MAT/03,01/A2,MATEMATICA,2011,01 - Scienze matematiche e informatiche
Associato confermato,ABBONDANDOLO Alberto,M,PISA,Scienze Matematiche Fisiche e Naturali,MAT/05,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
Ricercatore a t.d. (art.1 comma 14 L. 230/05),ABBOTT John Anthony,M,GENOVA,,MAT/02,,MATEMATICA (DIMA),2011,01 - Scienze matematiche e informatiche
Associato confermato,ABENDA Simonetta,F,BOLOGNA,Ingegneria,MAT/05,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
Ricercatore non confermato,ABREU Marien,F,BASILICATA,Farmacia,MAT/03,01/A2,MATEMATICA E INFORMATICA,2011,01 - Scienze matematiche e informatiche
Ricercatore,ABUNDO Mario Rosolino,M,"ROMA ""Tor Vergata""",Ingegneria,MAT/06,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
Associato confermato,ACANFORA Fausto,M,"CAMPANIA - ""L. VANVITELLI""",Ingegneria,MAT/05,01/A3,INGEGNERIA DELL'INFORMAZIONE,2011,01 - Scienze matematiche e informatiche
Ordinario,ACCARDI Luigi,M,"ROMA ""Tor Vergata""",Economia,MAT/06,01/A3,ECONOMIA E FINANZA,2011,01 - Scienze matematiche e informatiche
Associato confermato,ACCASCINA Giuseppe,M,"ROMA ""La Sapienza""",Ingegneria Civile e Industriale (*),MAT/03,01/A2,SCIENZE DI BASE ED APPLICATE PER L'INGEGNERIA,2011,01 - Scienze matematiche e informatiche
Associato confermato,ACCIARO Vincenzo,M,CHIETI-PESCARA,Economia,INF/01,01/B1,SCIENZE,2011,01 - Scienze matematiche e informatiche
Ordinario,ACERBI Emilio Daniele G.,M,PARMA,Ingegneria,MAT/05,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
Ricercatore,ACETO Lidia,F,PISA,Ingegneria,MAT/08,01/A5,MATEMATICA APPLICATA,2011,01 - Scienze matematiche e informatiche
