Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ABATANGELO Laura,F,Politecnico di MILANO,,MAT/05,01/A3,MATEMATICA,2022,01 - Scienze matematiche e informatiche
Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ABATANGELO Nicola,M,BOLOGNA,,MAT/05,01/A3,MATEMATICA,2022,01 - Scienze matematiche e informatiche
Ordinario,ABATE Andrea Francesco,M,SALERNO,,INF/01,01/B1,Informatica,2022,01 - Scienze matematiche e informatiche
Ordinario,ABATE Marco,M,PISA,,MAT/03,01/A2,MATEMATICA,2022,01 - Scienze matematiche e informatiche
Associato confermato,ABBATTISTA Fabio,M,BARI,,INF/01,01/B1,Informatica,2022,01 - Scienze matematiche e informatiche
Associato confermato,ABENDA Simonetta,F,BOLOGNA,,MAT/05,01/A3,Matematica,2022,01 - Scienze matematiche e informatiche
Associato,ABREU Marien,F,BASILICATA,,MAT/03,01/A2,"Matematica, Informatica ed Economia",2022,01 - Scienze matematiche e informatiche
Associato,ABUNDO Mario Rosolino,M,"ROMA ""Tor Vergata""",,MAT/06,01/A3,Matematica,2022,01 - Scienze matematiche e informatiche
Ordinario,ACAMPORA Giovanni,M,Napoli Federico II,,INF/01,01/B1,"Fisica ""Ettore Pancini""",2022,01 - Scienze matematiche e informatiche
Associato confermato,ACCIARO Vincenzo,M,CHIETI-PESCARA,,INF/01,01/B1,Economia,2022,01 - Scienze matematiche e informatiche
Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ACCIARRI Cristina,F,MODENA e REGGIO EMILIA,,MAT/02,01/A2,"SCIENZE FISICHE, INFORMATICHE E MATEMATICHE",2022,01 - Scienze matematiche e informatiche
Ordinario,ACERBI Emilio Daniele G.,M,PARMA,,MAT/05,01/A3,"Scienze Matematiche, Fisiche e Informatiche",2022,01 - Scienze matematiche e informatiche
Associato,ACETO Lidia,F,PIEMONTE ORIENTALE,,MAT/08,01/A5,Scienze e Innovazione Tecnologica (DISIT),2022,01 - Scienze matematiche e informatiche
Ordinario,ACETO Luca,M,Gran Sasso Science Institute,,INF/01,01/B1,Area di Informatica,2022,01 - Scienze matematiche e informatiche
Ordinario,ADAMI Riccardo,M,Politecnico di TORINO,,MAT/05,01/A3,SCIENZE MATEMATICHE Giuseppe Luigi Lagrange,2022,01 - Scienze matematiche e informatiche
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ADAMO Tommaso,M,SALENTO,,MAT/09,01/A6,INGEGNERIA DELL'INNOVAZIONE,2022,01 - Scienze matematiche e informatiche
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ADDONA Davide,M,PARMA,,MAT/05,01/A3,"SCIENZE MATEMATICHE, FISICHE E INFORMATICHE",2022,01 - Scienze matematiche e informatiche
Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),AGAZZI Andrea,M,PISA,,MAT/06,01/A3,MATEMATICA,2022,01 - Scienze matematiche e informatiche
Associato confermato,AGLIANO' Paolo,M,SIENA,,MAT/02,01/A2,Ingegneria dellInformazione e Scienze Matematiche,2022,01 - Scienze matematiche e informatiche
Associato,AGLIARI Elena,F,"ROMA ""La Sapienza""",,MAT/07,01/A4,Matematica,2022,01 - Scienze matematiche e informatiche
Ordinario,AGNETIS Alessandro,M,SIENA,,MAT/09,01/A6,Ingegneria dellInformazione e Scienze Matematiche,2022,01 - Scienze matematiche e informatiche
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),AGOSTI Abramo,M,PAVIA,,MAT/05,01/A3,MATEMATICA,2022,01 - Scienze matematiche e informatiche
Associato confermato,AGOSTINI Alessandra,F,MILANO-BICOCCA,,INF/01,01/B1,"INFORMATICA, SISTEMISTICA E COMUNICAZIONE",2022,01 - Scienze matematiche e informatiche
Associato,AGOSTINIANI Virginia,F,TRENTO,,MAT/05,01/A3,Fisica,2022,01 - Scienze matematiche e informatiche
Associato,AGUGLIA Angela,F,Politecnico di BARI,,MAT/03,01/A2,"Dipartimento di Meccanica, Matematica e Management",2022,01 - Scienze matematiche e informatiche
Associato,AGUZZOLI Stefano,M,MILANO,,INF/01,01/B1,Informatica 'Giovanni Degli Antoni',2022,01 - Scienze matematiche e informatiche
Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),AHMETOVIC Dragan,M,MILANO,,INF/01,01/B1,INFORMATICA 'GIOVANNI DEGLI ANTONI',2022,01 - Scienze matematiche e informatiche
Associato,AIMI Alessandra,F,PARMA,,MAT/08,01/A5,"Scienze Matematiche, Fisiche e Informatiche",2022,01 - Scienze matematiche e informatiche
Associato,AIOLLI Fabio,M,PADOVA,,INF/01,01/B1,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2022,01 - Scienze matematiche e informatiche
Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ALAIMO Salvatore,M,CATANIA,,INF/01,01/B1,MEDICINA CLINICA E SPERIMENTALE,2022,01 - Scienze matematiche e informatiche
Ordinario,ALBANESE Angela Anna,F,SALENTO,,MAT/05,01/A3,Matematica e Fisica Ennio De Giorgi,2022,01 - Scienze matematiche e informatiche
Associato confermato,ALBANO Alberto,M,TORINO,,MAT/03,01/A2,Matematica Giuseppe Peano,2022,01 - Scienze matematiche e informatiche
Associato,ALBANO Giovannina,F,SALERNO,,MAT/04,01/A1,Ingegneria dell'Informazione ed Elettrica e Matematica applicata,2022,01 - Scienze matematiche e informatiche
Ordinario,ALBANO Paolo,M,BOLOGNA,,MAT/05,01/A3,Matematica,2022,01 - Scienze matematiche e informatiche
